,Text,Class
61,aight text me when you re back at mu and i ll swing by  need somebody to get the door for me,ham
62,ok  i only ask abt e movie  u wan ktv oso ,ham
63,it s cool  let me know before it kicks off around   lt   gt    i ll be out and about all day,ham
64,oh for fuck s sake she s in like tallahassee,ham
65,howz pain hope u r fine  ,ham
66,wishing you and your family merry  x   mas and happy new year in advance   ,ham
67,urgent  your mobile no             won a å 2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362220 asap  box97n7qp  150ppm,spam
68,take care and sleep well you need to learn to change in life you only need to get convinced on that i will wait but no more conversations between us get convinced by that time your family is over for you in many senses respect them but not overemphasise or u have no role in my life ,ham
69,dear  will call tmorrow pls accomodate ,ham
70,you give us back my id proof and   lt   gt   rs  we wont allow you to work  we will come to your home within days,ham
71,collect your valentine s weekend to paris inc flight   hotel   å 200 prize guaranteed  text  paris to no  69101  www rtf sphosting com,spam
72,just chill for another 6hrs  if you could sleep the pain is not a surgical emergency so see how it unfolds  okay,ham
73,i know a few people i can hit up and fuck to the yes,ham
74,my darling sister  how are you doing  when s school resuming  is there a minimum wait period before you reapply  do take care,ham
75,i met you as a stranger and choose you as my friend  as long as the world stands  our friendship never ends  lets be friends forever    gud nitz   ,ham
76,free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts  call mobileupd8 08001950382 or call2optout 674,spam
77,s  s nervous   lt   gt    ,ham
78,kallis wont bat in 2nd innings ,ham
79,ur tonexs subscription has been renewed and you have been charged å 4 50  you can choose 10 more polys this month  www clubzed co uk  billing msg ,spam
80,ahhh  work  i vaguely remember that  what does it feel like  lol,ham
81,bored of speed dating  try speedchat  txt speedchat to 80155  if you don t like em txt swap and get a new chatter  chat80155 pobox36504w45wq 150p msg rcd 16,spam
82,yo my trip got postponed  you still stocked up ,ham
83,not from this campus  are you in the library ,ham
84,aight  i m chillin in a friend s room so text me when you re on the way,ham
85,sen told that he is going to join his uncle finance in cbe,ham
86,thats cool  where should i cum  on you or in you    ,ham
87,got it  seventeen pounds for seven hundred ml  ûò hope ok ,ham
88,didn t you get hep b immunisation in nigeria ,ham
89,that s y u haf 2 keep me busy   ,ham
90,saw guys and dolls last night with patrick swayze it was great,ham
91,hello  we need some posh birds and chaps to user trial prods for champneys  can i put you down  i need your address and dob asap  ta r,ham
92,just sent again  do you scream and moan in bed  princess ,ham
93,i am on the way to tirupur ,ham
94,hello from orange  for 1 month s free access to games  news and sport  plus 10 free texts and 20 photo messages  reply yes  terms apply  www orange co uk ow,spam
95,and by when you re done i mean now,ham
96,lol i know  hey someone did a great inpersonation of flea on the forums  i love it ,ham
97,actually i m waiting for 2 weeks when they start putting ad ,ham
98,fwiw the reason i m only around when it s time to smoke is that because of gas i can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,ham
99,sent me de webadres for geting salary slip,ham
100,dear all  as we know   lt   gt  th is the   lt   gt  th birthday of our loving gopalettan  we are planning to give a small gift on that day  those who like to participate in that you are welcome  please contact our admin team for more details,ham
101,in work now  going have in few min ,ham
102,k then 2marrow are you coming to class ,ham
103,k still are you loving me ,ham
104,urgent  please call 09061743810 from landline  your abta complimentary 4  tenerife holiday or  5000 cash await collection sae t cs box 326 cw25wx 150 ppm,spam
105,you have won a nokia 7250i  this is what you get when you win our free auction  to take part send nokia to 86021 now  hg suite342 2lands row w1jhl 16  ,spam
106,can meh  thgt some will clash    really ah  i dun mind    i dun seen to have lost any weight    gee   ,ham
107,what s happening with you  have you gotten a job and have you begun registration for permanent residency,ham
108,yeah there s barely enough room for the two of us  x has too many fucking shoes  sorry man  see you later,ham
109,no shoot me  i m in the docs waiting room    ,ham
110,how are you doing  how s the queen  are you going for the royal wedding,ham
111,natalja  25 f  is inviting you to be her friend  reply yes 440 or no 440 see her  www sms ac u nat27081980 stop  send stop frnd to 62468,spam
112,so how s the weather over there ,ham
113,i m in chennai velachery  ,ham
114,k   i yan jiu liao    sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb  sun can go cine frm 1030 to 2  den hop to orc mrt 4 hip hop at 4   ,ham
115,nope i ll come online now  ,ham
116,hmm  too many of them unfortunately    pics obviously arent hot cakes  its kinda fun tho,ham
117,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,spam
118,ok k  sry i knw 2 siva  tats y i askd  ,ham
119,really good  dhanush rocks once again  ,ham
120,discussed with your mother ah ,ham
121,i walked an hour 2 c u  doesnåõt that show i care y wont u believe im serious ,ham
122,lmao  take a pic and send it to me ,ham
123,probably a couple hours tops,ham
124,storming msg  wen u lift d phne  u say  hello   do u knw wt is d real meaning of hello         it s d name of a girl          yes   and u knw who is dat girl     margaret hello   she is d girlfrnd f grahmbell who invnted telphone            moral one can 4get d name of a person,ham
125,sorry  i guess whenever i can get a hold of my connections  maybe an hour or two  i ll text you,ham
126,a pure hearted person can have a wonderful smile that makes even his her enemies to feel guilty for being an enemy   so catch the world with your smile     goodmorning  amp  have a smiley sunday    ,ham
127,  free message  thanks for using the auction subscription service  18   150p msgrcvd 2 skip an auction txt out  2 unsubscribe txt stop customercare 08718726270,spam
128,i m done  c ì_ there ,ham
129,wait   i will msg after   lt   gt   min ,ham
130,that s good  lets thank god  please complete the drug  have lots of water  and have a beautiful day ,ham
131,feb   lt   gt   is  i love u   day  send dis to all ur   valued frnds   evn me  if 3 comes back u ll gt married d person u luv  if u ignore dis u will lose ur luv 4 evr ,ham
132,today is accept day  u accept me as  brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,ham
133,the 2 oz guy is being kinda flaky but one friend is interested in picking up    lt   gt   worth tonight if possible,ham
134,where r we meeting ,ham
135,dude avatar 3d was imp  at one point i thought there were actually flies in the room and almost tried hittng one as a reflex,ham
136,goodmorning my grandfather expired  so am on leave today ,ham
137,jus ans me lar  u ll noe later ,ham
138,did you see that film  ,ham
139,hi  this is mandy sullivan calling from hotmix fm   you are chosen to receive å 5000 00 in our easter prize draw     please telephone 09041940223 to claim before 29 03 05 or your prize will be transferred to someone else    ,spam
140,you know  wot people wear  t shirts  jumpers  hat  belt  is all we know  we r at cribbs,ham
141,haha    sounds crazy  dunno can tahan anot   ,ham
142,ok  how many should i buy ,ham
143,ok lor   ,ham
144,oh ok  ,ham
145,come around   lt decimal gt  pm vikky  i m otside nw  il come by tht time,ham
146,yes  rent is very expensive so its the way we save ,ham
147,ya they are well and fine   bbd pooja  full pimples  even she become quite black  and ur rite here its too cold  wearing sweatter  ,ham
148,i m meeting darren   ,ham
149,imagine life without me    see   how fast u are searching me don t worry   l m always there to disturb u   goodnoon    ,ham
150,cool  want me to go to kappa or should i meet you outside mu,ham
151,urgent ur å 500 guaranteed award is still unclaimed  call 09066368327 now closingdate04 09 02 claimcode m39m51 å 1 50pmmorefrommobile2bremoved mobypobox734ls27yf,spam
152,no problem  we will be spending a lot of quality time together   ,ham
153,send me the new number,spam
154,i am not sure about night menu      i know only about noon menu,ham
155,free message activate your 500 free text messages by replying to this message with the word free for terms   conditions  visit www 07781482378 com,spam
156,save money on wedding lingerie at www bridal petticoatdreams co uk choose from a superb selection with national delivery  brought to you by weddingfriend,spam
157,is xy going 4 e lunch ,ham
158,company is very good environment is terrific and food is really nice  ,ham
159,hi im having the most relaxing time ever  we have to get up at 7am every day  was the party good the other night  i get home tomorrow at 5ish ,ham
160,call me da  i am waiting for your call ,ham
161,todays voda numbers ending with 7634 are selected to receive a å 350 reward  if you have a match please call 08712300220 quoting claim code 7684 standard rates apply ,spam
162,honey  can you pls find out how much they sell predicte in nigeria  and how many times can it be used  its very important to have a reply before monday,ham
163,hello handsome   are you finding that job   not being lazy   working towards getting back that net for mummy   where s my boytoy now   does he miss me  ,ham
164,it shall be fine  i have avalarr now  will hollalater,ham
165,1  tension face 2  smiling face 3  waste face 4  innocent face 5 terror face 6 cruel face 7 romantic face 8 lovable face 9 decent face   lt   gt   joker face ,ham
166,pls what s the full name of joke s school cos fees in university of florida seem to actually be   lt   gt  k  pls holla back,ham
167,i had it already  sabarish asked me to go  ,ham
168,friends that u can stay on fb chat with,ham
169,that s the way you should stay oh ,ham
170,only if you promise your getting out as soon as you can  and you ll text me in the morning to let me know you made it in ok ,ham
171,sorry   in meeting i ll call you later,ham
172,yes i will be there  glad you made it ,ham
173,i m in solihull    do you want anything ,ham
174,haha awesome  omw back now then,ham
175,under the sea  there lays a rock  in the rock  there is an envelope  in the envelope  there is a paper  on the paper  there are 3 words     ,ham
176,if you ask her or she say any please message ,ham
177,hey    what time is your driving on fri  we go for evaluation on fri ,ham
178,i m leaving my house now   ,ham
179,is there coming friday is leave for pongal do you get any news from your work place ,ham
180,free msg  ringtone from  http   tms  widelive com index  wml id 1b6a5ecef91ff9 37819 first true18 0430 jul 05,spam
181,hi mate its rv did u hav a nice hol just a message 3 say hello coz havenåõt sent u 1 in ages started driving so stay off roads rvx,ham
182,good morning my dear            have a great  amp  successful day ,ham
183,ok lor   ,ham
184,check with nuerologist ,ham
185,ugh  gotta drive back to sd from la  my butt is sore ,ham
186,when the first strike is a red one  the bird   antelope begin toplay in the fieldof selfindependence believe this   the flower of contention will grow random ,ham
187,she went to attend another two rounds today  but still did t reach home  ,ham
188,i can send you a pic if you like   ,ham
189,sorry  i ll call later,ham
190,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,spam
191,you have an important customer service announcement  call freephone 0800 542 0825 now ,spam
192,i m okay  chasing the dream  what s good  what are you doing next ,ham
193,is it ok if i stay the night here  xavier has a sleeping bag and i m getting tired,ham
194,i wont do anything de ,ham
195,whens your radio show ,ham
196,why i come in between you people,ham
197,thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh  ex tata aig who joined tissco tayseer ,ham
198,men like shorter ladies  gaze up into his eyes ,ham
199,k k  when are you going ,ham
200,ya even those cookies have jelly on them,ham
201,lol alright i was thinkin that too haha,ham
202,yes there were many sweets,ham
203,ìï all write or wat  ,ham
204,ok then i ll let him noe later n ask him call u tmr   ,ham
205,hmm ill have to think about it    ok you re forgiven   d,ham
206,yeah my usual guy s out of town but there re definitely people around i know,ham
207,the new deus ex game comin early next yr,ham
208,a little  meds say take once every 8 hours  it s only been 5 but pain is back  so i took another  hope i don t die,ham
209,didn t try  g and i decided not to head out,ham
210,honey boo i m missing u ,ham
211,no 1 polyphonic tone 4 ur mob every week  just txt pt2 to 87575  1st tone free   so get txtin now and tell ur friends  150p tone  16 reply hl 4info,spam
212,i call you later  don t have network  if urgnt  sms me ,ham
213,i promise to take good care of you  princess  i have to run now  please send pics when you get a chance  ttyl ,ham
214,mmmm     fuck     not fair   you know my weaknesses    grins   pushes you to your knee s   exposes my belly and pulls your head to it  don t forget     i know yours too  wicked smile ,ham
215,whenevr ur sad  whenevr ur gray  remembr im here 2 listn 2 watevr u wanna say  jus walk wid me a little while  amp  i promise i ll bring back ur smile    ,ham
216,ìï mean it s confirmed    i tot they juz say oni    ok then    ,ham
217,watching cartoon  listening music  amp  at eve had to go temple  amp  church   what about u ,ham
218,a å 400 xmas reward is waiting for you  our computer has randomly picked you from our loyal mobile customers to receive a å 400 reward  just call 09066380611 ,spam
219,same  wana plan a trip sometme then,ham
220,she s find  i sent you an offline message to know how anjola s now ,ham
221,sure thing big man  i have hockey elections at 6  shouldn û t go on longer than an hour though,ham
222,so i asked how s anthony  dad  and your bf,ham
223,sexy sexy cum and text me im wet and warm and ready for some porn  u up for some fun  this msg is free recd msgs 150p inc vat 2 cancel text stop,spam
224,eerie nokia tones 4u  rply tone title to 8007 eg tone dracula to 8007 titles  ghost  addamsfa  munsters  exorcist  twilight www getzed co uk pobox36504w45wq 150p ,spam
225,c movie is juz last minute decision mah  juz watch 2 lar but i tot ì_ not interested ,ham
226,i have no money 4 steve mate   ,ham
227,excellent  i spent   lt   gt   years in the air force  iraq and afghanistan  i am stable and honest  do you like traveling ,ham
228, si como no  listened2the plaid album quite gd the new air1 which is hilarious also boughtåóbraindanceåóa comp ofstuff on aphexåõs  abel,ham
229,lol ok ill try to send  be warned sprint is dead slow  you ll prolly get it tomorrow,ham
230,hi babe its jordan  how r u  im home from abroad and lonely  text me back if u wanna chat xxsp visionsms com text stop to stopcost 150p 08712400603,spam
231,this is one of the days you have a billion classes  right ,ham
232,i m at bruce  amp  fowler now but i m in my mom s car so i can t park  long story ,ham
233,sorry im stil fucked after last nite went tobed at 430 got up 4 work at 630,ham
234,thanks for the temales it was wonderful  thank  have a great week ,ham
235,the length is e same but e top shorter n i got a fringe now  i thk i m not going liao  too lazy  dun wan 2 distract u also ,ham
236,i though we shd go out n have some fun so bar in town or something  ûò sound ok ,ham
237,do you know when the result ,ham
238,sounds like a plan  cardiff is still here and still cold  i m sitting on the radiator ,ham
239,no go  no openings for that room  til after thanksgiving without an upcharge ,ham
240,nothing  i got msg frm tht unknown no  ,ham
241,and of course you should make a stink ,ham
242,i like to think there s always the possibility of being in a pub later ,ham
243,ugh fuck it i m resubbing to eve,ham
244,wat u doing there ,ham
245,ha  you don û t know either  i did a a clever but simple thing with pears the other day  perfect for christmas ,ham
246,erm  û_ ill pick you up at about 6 45pm  that ll give enough time to get there  park and that ,ham
247,phony å 350 award   todays voda numbers ending xxxx are selected to receive a å 350 award  if you have a match please call 08712300220 quoting claim code 3100 standard rates app,spam
248,just making dinner  you  ,ham
249,yeah i think my usual guy s still passed out from last night  if you get ahold of anybody let me know and i ll throw down,ham
250,your free ringtone is waiting to be collected  simply text the password  mix   to 85069 to verify  get usher and britney  fml,spam
251,hahaha  use your brain dear,ham
252,he remains a bro amongst bros,ham
253,haha    dont be angry with yourself    take it as a practice for the real thing     ,ham
254,your board is working fine  the issue of overheating is also reslove  but still software inst is pending  i will come around 8 o clock ,ham
255,not for possession  especially not first offense,ham
256,ok lor ,ham
257,you might want to pull out more just in case and just plan on not spending it if you can  i don t have much confidence in derek and taylor s money management,ham
258,r ì_ comin back for dinner ,ham
259,sorry  i ll call later,ham
260,ok c ì_ then ,ham
261,but if she s drinkin i m ok ,ham
262,well  balls  time to make calls,ham
263,s    s   india going to draw the series after many years in south african soil  ,ham
264,i dont have i shall buy one dear,ham
265,someone u know has asked our dating service 2 contact you  cant guess who  call 09058095107 now all will be revealed  pobox 7  s3xy 150p ,spam
266,every day i use to sleep after   lt   gt   so only ,ham
267,playin space poker  u ,spam
268,hi  i got the money da  ,ham
269,what s nannys address ,ham
270,no plans yet  what are you doing  ,ham
271,who are you seeing ,ham
272,where is that one day training   ,ham
273, says that he s quitting at least5times a day so i wudn t take much notice of that  nah  she didn t mind  are you gonna see him again  do you want to come to taunton tonight  u can tell me all about  ,ham
274,freemsg fav xmas tones reply real,spam
275,am going to take bath ill place the key in window   ,ham
276,aiya we discuss later lar    pick ì_ up at 4 is it ,ham
277,i m hungry buy smth home   ,ham
278,boo what time u get out  u were supposed to take me shopping today    ,ham
279,aight  i ll ask a few of my roommates,ham
280, lt   gt   am i think  should say on syllabus,ham
281,yep  i do like the pink furniture tho ,ham
282,okey doke  i m at home  but not dressed cos laying around ill  speak to you later bout times and stuff  ,ham
283,where can download clear movies  dvd copies ,ham
284,bored housewives  chat n date now  0871750 77 11  bt national rate 10p min only from landlines ,spam
285,i m ok  will do my part tomorrow,ham
286,where do you need to go to get it ,ham
287,u wan 2 haf lunch i m in da canteen now ,ham
288,awesome  i remember the last time we got somebody high for the first time with diesel  v,ham
289,aight  i should be there by 8 at the latest  probably closer to 7  are jay and tyler down or should we just do two trips ,ham
290,yup   ,ham
291,how about getting in touch with folks waiting for company  just txt back your name and age to opt in  enjoy the community  150p sms ,spam
292,yay can t wait to party together ,ham
293,that day ì_ say ì_ cut ur hair at paragon  is it called hair sense  do ì_ noe how much is a hair cut  ,ham
294,we have sent jd for customer service cum accounts executive to ur mail id  for details contact us,spam
295,that s one of the issues but california is okay  no snow so its manageable,ham
296,dunno lei    i might b eatin wif my frens    if ì_ wan to eat then i wait 4 ì_ lar,ham
297,havent shopping now lor i juz arrive only,ham
298,i m awake oh  what s up ,ham
299,ok then i will come to ur home after half an hour,ham
300,pls send me a comprehensive mail about who i m paying  when and how much ,ham
301,today my system sh get ready all is well and i am also in the deep well,ham
302,hi da  how is the todays class ,ham
303,btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,ham
304,havent mus ask if u can 1st wat  of meet 4 lunch den u n him meet can already lor  or u wan 2 go ask da ge 1st then confirm w me asap ,ham
305,now i m going for lunch ,ham
306,wat makes u thk i ll fall down  but actually i thk i m quite prone 2 falls  lucky my dad at home i ask him come n fetch me already ,ham
307,i ve been barred from all b and q stores for life  this twat in orange dungerees came up to me and asked if i wanted decking  so i got the first punch in  ,ham
308,hey   i want you   i crave you   i miss you   i need you   i love you  ahmad saeed al hallaq    ,ham
309,shopping  eh ger i toking abt syd leh   haha,ham
310, û_ and don û t worry we û ll have finished by march  û_ ish ,ham
311,that s y i said it s bad dat all e gals know u    wat u doing now ,ham
312,that s fine  have him give me a call if he knows what he wants or has any questions,ham
313,be happy there  i will come after noon,ham
314,how have your little darlings been so far this week  need a coffee run tomo can t believe it s that time of week already  û_,ham
315,congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call 09061104283 ts cs www smsco net å 1 50pm approx 3mins,spam
316,ok but knackered  just came home and went to sleep  not good at this full time work lark ,ham
317,i am literally in bed and have been up for like   lt   gt   hours,ham
318,argh why the fuck is nobody in town  _ ,ham
319,hmmm still we dont have opener ,ham
320,hey elaine  is today s meeting still on ,ham
321,oh ho  is this the first time u use these type of words,ham
322,u have a secret admirer  reveal who thinks u r so special  call 09065174042  to opt out reply reveal stop  1 50 per msg recd  cust care 07821230901,spam
323,yo  howz u  girls never rang after india  l,ham
324,we tried to contact you re your reply to our offer of a video handset  750 anytime any networks mins  unlimited text  camcorder  reply or call 08000930705 now,spam
325,wah    okie okie    muz make use of e unlimited    haha    ,ham
326, symptoms   when u are in love    1 u like listening songs 2 u get stopped where u see the name of your beloved 3 u won t get angry when your ,ham
327,sorry  i ll call later   lt   gt  mins,ham
328,hi where you  you in home or calicut ,ham
329,fran i decided 2 go n e way im completely broke an knackered i got up bout 3 c u 2mrw love janx p s this is my dads fone   no credit,ham
330,cool  text me when you re parked,ham
331,what can i do  might accidant tookplace between somewhere ghodbandar rd  traffic moves slovely  so plz slip  amp  don t worry ,ham
332,they released another italian one today and it has a cosign option,ham
333,lol they were mad at first but then they woke up and gave in ,ham
334,oh ok   wat s ur email ,ham
335,when re you guys getting back  g said you were thinking about not staying for mcr,ham
336,get the official england poly ringtone or colour flag on yer mobile for tonights game  text tone or flag to 84199  optout txt eng stop box39822 w111wx å 1 50,spam
337,horrible u eat macs eat until u forgot abt me already rite    u take so long 2 reply  i thk it s more toot than b4 so b prepared  now wat shall i eat ,ham
338,gokila is talking with you aha  ,ham
339,u have a secret admirer  reveal who thinks u r so special  call 09065174042  to opt out reply reveal stop  1 50 per msg recd  cust care 07821230901,spam
340,please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed å 1000 cash or å 5000 prize ,spam
341,goodo  yes we must speak friday   egg potato ratio for tortilla needed  ,ham
342,ok that would b lovely  if u r sure  think about wot u want to do  drinkin  dancin  eatin  cinema  in  out  about    up to u  wot about   ,ham
343,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09065171142 stopsms 08,spam
344,its good  we ll find a way,ham
345,they don t put that stuff on the roads to keep it from getting slippery over there ,ham
346,got smaller capacity one  quite ex   ,ham
347,ok lor  i ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat ,ham
348,sorry  i ll call later,ham
349,delhi and chennai still silent ,ham
350,why don t you go tell your friend you re not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,ham
351,ok set let u noe e details later   ,ham
352,do you know why god created gap between your fingers    so that  one who is made for you comes  amp  fills those gaps by holding your hand with love   ,ham
353,jade its paul  y didnåõt u txt me  do u remember me from barmed  i want 2 talk 2 u  txt me,ham
354,i went to project centre,ham
355,yup next stop ,ham
356,dunno cos i was v late n when i reach they inside already    but we ate spageddies lor    it s e gals who r laughing at me lor   ,ham
357,still i have not checked it da     ,ham
358,when you are big    god will bring success ,ham
359,you stayin out of trouble stranger  saw dave the other day heåõs sorted now still with me bloke when u gona get a girl mr ur mum still thinks we will get 2getha  ,ham
360,not sure i have the stomach for it    ,ham
361,prabha  i m soryda  realy  frm heart i m sory,ham
362,she said    do u mind if i go into the bedroom for a minute        ok    i sed in a sexy mood  she came out 5 minuts latr wid a cake   n my wife ,ham
363,no he didn t  spring is coming early yay ,ham
364,but really quite funny lor wat    then u shd haf run shorter distance wat   ,ham
365,convey my regards to him,ham
366,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed å 1000 cash or å 5000 prize ,spam
367,hi dear call me its urgnt  i don t know whats your problem  you don t want to work or if you have any other problem at least tell me  wating for your reply ,ham
368,just arrived  see you in a couple days  lt 3,ham
369,themob yo yo yo here comes a new selection of hot downloads for our members to get for free  just click   open the next link sent to ur fone   ,spam
370,dear are you angry i was busy dear,ham
371,honey   sweetheart   darling   sexy buns   sugar plum   loverboy   i miss you  boytoy      smacks your ass  did you go to the gym too  ,ham
372,i want to sent   lt   gt  mesages today  thats y  sorry if i hurts,ham
373,wa    u so efficient    gee    thanx   ,ham
374,yesterday its with me only   now am going home ,ham
375,yo we are watching a movie on netflix,ham
376,i want to be there so i can kiss you and feel you next to me,ham
377,yo  you around  just got my car back,ham
378,he telling not to tell any one  if so treat for me hi hi hi,ham
379,maybe if you woke up before fucking 3 this wouldn t be a problem ,ham
380,sir  i am waiting for your mail ,ham
381,now u sound like manky scouse boy steve like  i is travelling on da bus home wot has u inmind 4 recreation dis eve ,ham
382,quite ok but a bit ex    u better go eat smth now else i ll feel guilty   ,ham
383,are you there in room ,ham
384,and that is the problem  you walk around in  julianaland   oblivious to what is going on around you  i say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do  it s not that you don t know why i m upset  it s that you don t listen when i tell you what is going to upset me  then you want to be surprised when i m mad  ,ham
385,bangbabes ur order is on the way  u should receive a service msg 2 download ur content  if u do not  goto wap  bangb  tv on ur mobile internet service menu,spam
386,best msg  it s hard to be with a person  when u know that one more step foward will make u fall in love    amp  one step back can ruin ur friendship   good night       ,ham
387,pete is this your phone still  its jenny from college and leanne what are you up to now   ,ham
388,just curious because my cuz asked what i was up to,ham
389,correct  so how was work today,ham
390,they said if its gonna snow  it will start around 8 or 9 pm tonite  they are predicting an inch of accumulation ,ham
391,nothing  i meant that once the money enters your account here  the bank will remove its flat rate  someone transfered   lt   gt   to my account and   lt   gt  dollars got removed  so the banks differ and charges also differ be sure you trust the 9ja person you are sending account details to cos   ,ham
392, yeh i am def up4 something sat,ham
393,fine if thatåõs the way u feel  thatåõs the way its gota b,ham
394,refused a loan  secured or unsecured  can t get credit  call free now 0800 195 6669 or text back  help    we will ,spam
