Class,Text
ham,the world is running and i am still maybe all are feeling the same so be it or i have to admit i am mad then where is the correction or let me call this is life and keep running with the world may be u r also running lets run 
spam,buy space invaders 4 a chance 2 win orig arcade game console  press 0 for games arcade  std wap charge  see o2 co uk games 4 terms   settings  no purchase
spam,you are being contacted by our dating service by someone you know  to find out who it is  call from a land line 09050000878  pobox45w2tg150p
spam,new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy com  txt one name to 89693  08715500022 rpl stop 2 cnl
ham,really    i tot ur paper ended long ago    but wat u copied jus now got use  u happy lar    i still haf 2 study    
ham,no calls  messages  missed calls
ham,yeah confirmed for you staying at  that weekend
ham,yeah it s jus rite   
ham,am not interested to do like that 
ham,ìï still got lessons   ìï in sch 
ham,are you happy baby   are you alright   did you take that job   i hope your fine  i send you a kiss to make you smile from across the sea      kiss   kiss 
ham,ugh y can t u just apologize  admit u were wrong and ask me to take u back 
ham,tonight  yeah  i d be down for that
ham,urgh  coach hot  smells of chip fat  thanks again  especially for the duvet  not a predictive text word  
ham,hi its jess i dont know if you are at work but call me when u can im at home all eve  xxx
ham,it s ok i wun b angry  msg u aft i come home tonight 
ham,solve d case   a man was found murdered on   lt decimal gt     lt   gt   afternoon  1 his wife called police  2 police questioned everyone  3 wife  sir i was sleeping  when the murder took place  4 cook  i was cooking  5 gardener  i was picking vegetables  6 house maid  i went 2 d post office  7 children  we went 2 play  8 neighbour  we went 2 a marriage  police arrested d murderer immediately  who s it  reply with reason  if u r brilliant 
spam,free for 1st week  no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w45wq norm150p tone 16 
ham,have you laid your airtel line to rest 
ham,damn  can you make it tonight or do you want to just wait til tomorrow
ham,i told her i had a dr appt next week  she thinks i m gonna die  i told her its just a check  nothing to be worried about  but she didn t listen 
ham,sir goodmorning  once free call me 
ham,i û m parked next to a mini     when are you coming in today do you think 
spam,reminder from o2  to get 2 50 pounds free call credit and details of great offers pls reply 2 this text with your valid name  house no and postcode
ham,my parents  my kidz  my friends n my colleagues  all screaming   surprise    and i was waiting on the sofa               naked    
ham,black shirt n blue jeans    i thk i c ì_   
ham,gumby s has a special where a   lt   gt    cheese pizza is  2 so i know what we re doin tonight 
spam,themob  check out our newest selection of content  games  tones  gossip  babes and sport  keep your mobile fit and funky text wap to 82468
ham,actually getting ready to leave the house 
ham,we walked from my moms  right on stagwood pass right on winterstone left on victors hill  address is  lt   gt 
ham,have you started in skye
ham,ok but tell me half an hr b4 u come i need 2 prepare 
ham,yes   it completely in out of form  clark also utter waste 
ham,dear     why you mood off  i cant drive so i brother to drive
ham,i ll get there tomorrow and send it to you
spam,final chance  claim ur å 150 worth of discount vouchers today  text yes to 85023 now  savamob  member offers mobile  t cs savamob pobox84  m263uz  å 3 00 subs 16
ham,nothing but we jus tot u would ask cos u ba gua    but we went mt faber yest    yest jus went out already mah so today not going out    jus call lor   
ham,its ok  come to my home it vl nice to meet and v can chat  
ham,dear friends  sorry for the late information  today is the birthday of our loving ar praveesh  for more details log on to face book and see  its his number    lt   gt    dont miss a delicious treat 
ham,but you were together so you should be thinkin about him
ham,i wont get concentration dear you know you are my mind and everything    
ham,time n smile r the two crucial things in our life  sometimes time makes us to forget smile  and sometimes someone s smile makes us to forget time gud noon
ham,oh god  taken the teeth is it paining
ham,not directly behind    abt 4 rows behind ì_   
ham,congrats kano  whr s the treat maga 
ham,k  i will sent it again
spam,thanks for your ringtone order  ref number r836  your mobile will be charged å 4 50  should your tone not arrive please call customer services on 09065069154
ham,ok i am on the way to home hi hi
ham,see  i knew giving you a break a few times woul lead to you always wanting to miss curfew  i was gonna gibe you  til one  but a midnight movie is not gonna get out til after 2  you need to come home  you need to getsleep and  if anything  you need to b studdying ear training 
ham,so dont use hook up any how
ham,you made my day  do have a great day too 
ham,its not the same here  still looking for a job  how much do ta s earn there 
ham,hi babe im at home now wanna do something  xx
ham,sorry  i ll call later
ham,he says hi and to get your ass back to south tampa  preferably at a kegger 
ham,happy new year to u and ur family   may this new year bring happiness   stability and tranquility to ur vibrant colourful life    
ham,so how are you really  what are you up to  how s the masters  and so on 
ham,no  i  didn t  mean to post it  i wrote it  and like so many other times i ve ritten stuff to you  i let it sit there  it was what i was feeling at the time  i was angry  before i left  i hit send  then stop  it wasn t there  i checked on my phone when i got to my car  it wasn t there  you said you didn t sleep  you were bored  so why wouldn t that be the time to clean  fold laundry  etc   at least make the bed 
spam,private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08718738002 identifier code  48922 expires 21 11 04
ham,yetunde i m in class can you not run water on it to make it ok  pls now 
ham,how much is torch in 9ja 
ham,why de  you looking good only     
ham,enjoy the showers of possessiveness poured on u by ur loved ones  bcoz in this world of lies  it is a golden gift to be loved truly  
ham,so no messages  had food 
spam,private  your 2004 account statement for 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code  45239 expires
ham,good stuff  will do 
ham,sorry  i ll call later
ham,ok thanx    take care then   
ham,k  i might come by tonight then if my class lets out early
spam,sms auction you have won a nokia 7250i  this is what you get when you win our free auction  to take part send nokia to 86021 now  hg suite342 2lands row w1jhl 16 
ham,dear me at cherthala in case u r coming cochin pls call bfore u start i shall also reach accordingly or tell me which day u r coming tmorow i am engaged ans its holiday 
ham,aiyah e rain like quite big leh  if drizzling i can at least run home 
ham,ujhhhhhhh computer shipped out with address to sandiago and parantella lane  wtf  poop 
ham,you didn t have to tell me that   now i m thinking  plus he s going to stop all your runs
spam,free nokia or motorola with upto 12mths 1 2price linerental  500 free x net mins 100txt mth free b tooth   call mobileupd8 on 08001950382 or call 2optout d3wv
ham,i got arrested for possession at  i shit you not    lt time gt   pm
ham,ranjith cal drpd deeraj and deepak 5min hold
ham,oh really   did you make it on air  what s your talent 
ham,i not busy juz dun wan 2 go so early   hee   
ham,did u got that persons story
ham,ok i msg u b4 i leave my house 
ham,as usual  iam fine  happy  amp  doing well    
ham,shb b ok lor    thanx   
ham,buy one egg for me da  please  
spam,cds 4u  congratulations ur awarded å 500 of cd gift vouchers or å 125 gift guaranteed   freeentry 2 å 100 wkly draw xt music to 87066 tncs www ldew com1win150ppmx3age16 
ham,oh ya ya  i remember da   
ham,convey my regards to him
ham,i sent you   lt   gt   bucks
ham,call to the number which is available in appointment  and ask to connect the call to waheed fathima 
ham,i don t know but i m raping dudes at poker
ham,ìï only send me the contents page   
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem   
spam,your weekly cool mob tones are ready to download  this weeks new tones include  1  crazy frog axel f    2  akon lonely    3  black eyed dont p    more info in n
ham,tmrw  im finishing 9 doors
ham,call him and say you not coming today ok and tell them not to fool me like this ok
ham,quite lor  but dun tell him wait he get complacent   
spam,you are a winner you have been specially selected to receive å 1000 cash or a å 2000 award  speak to a live operator to claim call 087123002209am 7pm  cost 10p
spam,xmas   new years eve tickets are now on sale from the club  during the day from 10am till 8pm  and on thurs  fri   sat night this week  they re selling fast 
ham,what s up my own oga  left my phone at home and just saw ur messages  hope you are good  have a great weekend 
ham,i can probably come by  everybody s done around   lt   gt   right 
ham,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem   
spam,dear voucher holder  2 claim this weeks offer  at your pc go to http   www e tlp co uk expressoffer ts cs apply 2 stop texts txt stop to 80062 
ham,can you use foreign stamps for whatever you send them off for  
ham,id have to check but there s only like 1 bowls worth left
ham,i can ask around but there s not a lot in terms of mids up here
ham,hi  you just spoke to maneesha v  we d like to know if you were satisfied with the experience  reply toll free with yes or no 
ham,also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week i have a new bong  gt   
spam, forwarded from 448712404000 please call 08712404000 immediately as there is an urgent message waiting for you 
ham,hey what are you doing  y no reply pa  
ham,dear where you will be when i reach there
ham,tap   spile at seven    is that pub on gas st off broad st by canal  ok 
ham,what happen dear tell me
ham,ummmmmaah many many happy returns of d day my dear sweet heart   happy birthday dear
ham,now project pa  after that only i can come 
ham,dont search love  let love find u  thats why its called falling in love  bcoz u dont force yourself  u just fall and u know there is smeone to hold u    bslvyl
ham,if i die i want u to have all my stuffs 
ham,s now only i took tablets   reaction morning only 
ham,hi darlin im missin u hope you are having a good time  when are u back and what time if u can give me a call at home  jess xx
ham,daddy  shu shu is looking 4 u    u wan me 2 tell him u re not in singapore or wat 
ham,nope    think i will go for it on monday    sorry i replied so late
spam,private  your 2003 account statement for 07753741225 shows 800 un redeemed s  i  m  points  call 08715203677 identifier code  42478 expires 24 10 04
ham,yeah i ll try to scrounge something up
ham,nt only for driving even for many reasons she is called bbd  thts it chikku  then hw abt dvg cold  heard tht vinobanagar violence hw is the condition  and hw ru   any problem 
ham,yo sorry was in the shower sup
ham,kind of  just missed train cos of asthma attack  nxt one in half hr so driving in  not sure where to park 
ham,yeah  that s fine  it s å 6 to get in  is that ok  
ham,hello how u doing what u been up 2 when will u b moving out of the flat  cos i will need to arrange to pick up the lamp  etc  take care  hello caroline 
ham,give me a sec to think think about it
ham,pls speak to that customer machan 
ham,ya that one is slow as poo
spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send cash to 86688 only 150p msg  cc  08718720201 po box 114 14 tcr w1
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me again  that needs to b sacked
ham,haha okay    today weekend leh    
ham,well its not like you actually called someone a punto  that woulda been worse 
ham,there bold 2   lt   gt    is that yours
ham,nope wif my sis lor    aft bathing my dog then i can bathe    looks like it s going 2 rain soon 
ham,no da    vijay going to talk in jaya tv
ham,yeah  i got a list with only u and joanna if i m feeling really anti social
ham,may i call you later pls
ham,i ll get there at 3  unless you guys want me to come some time sooner
ham,ill be at yours in about 3 mins but look out for me
ham,haha    yup hopefully  we will lose a few kg by mon  after hip hop can go orchard and weigh again
ham,tomarrow i want to got to court  at   lt decimal gt    so you come to bus stand at 9 
ham,hey  can you tell me blake s address  carlos wanted me to meet him there but i got lost and he s not answering his phone
ham,lol enjoy role playing much 
ham,moon has come to color your dreams  stars to make them musical and my sms to give you warm and peaceful sleep  good night
spam,you have won  1 000 cash or a  2 000 prize  to claim  call09050000327
ham,at what time should i come tomorrow
ham,that day you asked about anand number  why   
ham,sorry  was in the bathroom  sup
ham,how do you guys go to see movies on your side 
ham,i hope you that s the result of being consistently intelligent and kind  start asking him about practicum links and keep your ears open and all the best  ttyl
ham,in which place do you want da 
ham,huh so early   then ì_ having dinner outside izzit 
ham,hmmm     and imagine after you ve come home from that having to rub my feet  make me dinner and help me get ready for my date   are you sure your ready for that kind of life  
ham,horrible gal  me in sch doing some stuff  how come u got mc 
ham,lol  well quality aint bad at all so i aint complaining
ham,just checked out  heading out to drop off my stuff now
ham,dai what this da   can i send my resume to this id 
ham,dunno he jus say go lido  same time 930 
ham,as usual  iam fine  happy  amp  doing well    
ham,haha  that was the first person i was gonna ask
ham,yes  from last week itself i m taking live call 
ham,hmm well  night night 
ham,ok  i ll do you right later 
ham,we re finally ready fyi
ham,hi juan  im coming home on fri hey  of course i expect a welcome party and lots of presents  ill phone u when i get back  loads of love nicky x x x x x x x x x
ham,my computer just fried the only essential part we don t keep spares of because my fucking idiot roommates looovvve leaving the thing running on full   lt   gt   7
ham,booked ticket for pongal 
ham,ceri u rebel  sweet dreamz me little buddy   c ya 2moro  who needs blokes
ham,i m working technical support   voice process networking field 
ham,just so that you know yetunde hasn t sent money yet  i just sent her a text not to bother sending  so its over  you dont have to involve yourself in anything  i shouldn t have imposed anything on you in the first place so for that  i apologise 
spam,this is the 2nd time we have tried 2 contact u  u have won the 750 pound prize  2 claim is easy  call 08718726970 now  only 10p per min  bt national rate 
ham,tell them no need to investigate about me anywhere 
ham,yup  thk of u oso boring wat 
ham,don û t give a flying monkeys wot they think and i certainly don û t mind  any friend of mine and all that 
ham, im at arestaurant eating squid  i will be out about 10 30 wanna dosomething or is that to late    
ham,u really pig leh sleep so much  my dad wake me up at 10 smth 2 eat lunch today 
ham, hi babe uawake feellikw shit justfound out via aletter thatmum gotmarried 4thnov behind ourbacks åð fuckinnice selfish
ham,em  its olowoyey  usc edu have a great time in argentina  not sad about secretary  everything is a blessing
ham,as i entered my cabin my pa said     happy b day boss       i felt special  she askd me 4 lunch  after lunch she invited me to her apartment  we went there 
ham,so li hai    me bored now da lecturer repeating last weeks stuff waste time    
ham,i will take care of financial problem i will help  
ham,first has she gained more than   lt   gt  kg since she took in  second has she done the blood sugar tests  if she has and its ok and her blood pressure is within normal limits then no worries
ham,wake me up at   lt   gt   am morning  
ham,then any special there 
ham,what time is ur flight tmr 
ham,height of recycling  read twice  people spend time for earning money and the same money is spent for spending time     good morning   keep smiling   
ham,y so late but i need to go n get da laptop   
ham,height of confidence  all the aeronautics professors wer calld  amp  they wer askd 2 sit in an aeroplane  aftr they sat they wer told dat the plane ws made by their students  dey all hurried out of d plane   bt only 1 didnt move    he said  if it is made by my students
ham,leave it  u will always be ignorant 
ham,that s ok  i popped in to ask bout something and she said you d been in  are you around tonght wen this girl comes 
ham,oh    kay    on sat right 
spam,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 sort time 09099726429 janinexx callså 1 minmobsmorelkpobox177hp51fl
ham,ok i shall talk to him
ham,i ll text carlos and let you know  hang on
ham,you have to pls make a note of all she s exposed to  also find out from her school if anyone else was vomiting  is there a dog or cat in the house  let me know later 
ham,tunde  how are you doing  this is just wishing you a great day  abiola 
ham,k then any other special 
ham,  ow u dey i paid 60 400thousad i told  u would call   
ham,hi the way i was with u 2day  is the normal way this is the real me  ur unique i hope i know u 4 the rest of mylife  hope u find wot was lost 
spam,urgent  your mobile number has been awarded with a å 2000 prize guaranteed  call 09058094454 from land line  claim 3030  valid 12hrs only
ham,u still painting ur wall 
ham,good morning princess  happy new year 
ham,no need for the drug anymore 
ham,well i m going to be an aunty 
spam,you won t believe it but it s true  it s incredible txts  reply g now to learn truly amazing things that will blow your mind  from o2fwd only 18p txt
ham,7 at esplanade   do ì_ mind giving me a lift cos i got no car today  
ham,ok i m coming home now 
spam,if you don t  your prize will go to another customer  t c at www t c biz 18  150p min polo ltd suite 373 london w1j 6hl please call back if busy 
ham,i dnt wnt to tlk wid u
ham,tell me something  thats okay 
ham,oh k k  where did you take test 
ham,dunno y u ask me 
spam,free message activate your 500 free text messages by replying to this message with the word free for terms   conditions  visit www 07781482378 com
ham,hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a 10 man gang bang
ham,company is very good environment is terrific and food is really nice  
ham,oooh i got plenty of those 
ham,ok ok ok  then  whats ur todays plan
ham,ok ill send you with in   lt decimal gt   ok 
ham,hi  hope you had a good day  have a better night 
ham,do you always celebrate ny s with your family  
spam,for taking part in our mobile survey yesterday  you can now have 500 texts 2 use however you wish  2 get txts just send txt to 80160 t c www txt43 com 1 50p
ham,oooh bed ridden ey  what are you thinking of 
spam,you have an important customer service announcement from premier  call freephone 0800 542 0578 now 
ham,den wat will e schedule b lk on sun 
ham,customer place i will call you 
ham,edison has rightly said   a fool can ask more questions than a wise man can answer   now you know why all of us are speechless during viva   gm
ham,i fetch yun or u fetch 
spam,urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or å 1000  to claim txt dis to 87121 18 6 å 1 50 morefrmmob  shracomorsglsuplt 10  ls1 3aj
spam,as a registered optin subscriber ur draw 4 å 100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts
ham,check wid corect speling i e  sarcasm
spam,you have 1 new message  please call 08715205273
ham,hi   finally i completed the course  
spam,sms  ac jsco  energy is high  but u may not know where 2channel it  2day ur leadership skills r strong  psychic  reply ans w question  end  reply end jsco
spam,well done  your 4  costa del sol holiday or å 5000 await collection  call 09050090044 now toclaim  sae  tcs  pobox334  stockport  sk38xh  costå 1 50 pm  max10mins
ham,tell rob to mack his gf in the theater
ham,i dont  can you send it to me  plus how s mode 
ham,i wnt to buy a bmw car urgently  its vry urgent but hv a shortage of   lt   gt  lacs there is no source to arng dis amt   lt   gt  lacs  thats my prob
ham,spoons it is then okay 
ham,i cant pick the phone right now  pls send a message
ham,i û ll have a look at the frying pan in case it û s cheap or a book perhaps  no that û s silly a frying pan isn û t likely to be a book
ham,come round  it s   
ham,sorry  i ll call later
ham,babe     i miiiiiiissssssssss you   i need you     i crave you             geeee     i m so sad without you babe     i love you    
spam,accordingly  i repeat  just text the word ok on your mobile phone and send
ham,minimum walk is 3miles a day 
ham,shit that is really shocking and scary  cant imagine for a second  def up for night out  do u think there is somewhere i could crash for night  save on taxi 
ham,how come i din c ì_    yup i cut my hair   
ham,got it  mail panren paru  
ham,mm i had my food da from out
ham,tell where you reached
ham,yeah that d pretty much be the best case scenario
ham,anyway seriously hit me up when you re back because otherwise i have to light up with armand and he always has shit and or is vomiting
ham,so when do you wanna gym 
ham,i calls you later  afternoon onwords mtnl service get problem in south mumbai  i can hear you but you cann t listen me 
ham,from tomorrow onwards eve 6 to 3 work 
ham,how much it will cost approx   per month 
ham,she just broke down a list of reasons why nobody s in town and i can t tell if she s being sarcastic or just faggy
ham,reading gud habit   nan bari hudgi yorge pataistha ertini kano   
ham,no she didnt  i will search online and let you know 
ham,ok lor thanx    ìï in school 
ham,thank you  i like you as well   
ham,if i get there before you after your ten billion calls and texts so help me god
ham,haiyoh    maybe your hamster was jealous of million
ham,ah poop  looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
ham,hey  looks like i was wrong and one of the kappa guys numbers is still on my phone  if you want i can text him and see if he s around
ham,went fast asleep dear take care 
spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join the uk s largest dogging network by txting moan to 69888nyt  ec2a  31p msg 150p
ham,night has ended for another day  morning has come in a special way  may you smile like the sunny rays and leaves your worries at the blue blue bay  gud mrng
ham,we spend our days waiting for the ideal path to appear in front of us   but what we forget is    paths are made by walking   not by waiting     goodnight  
ham,we can go 4 e normal pilates after our intro     
ham,frnd s not juz a word     not merely a relationship     its a silent promise which says       i will be with you    wherevr   whenevr   forevr    gudnyt dear   
ham,if i said anything wrong sorry de   
ham,then cant get da laptop  my matric card wif ì_ lei    
ham,sad story of a man   last week was my b day  my wife did nt wish me  my parents forgot n so did my kids   i went to work  even my colleagues did not wish 
ham,ok can   
ham,thank you meet you monday
spam,urgent  we are trying to contact u  todays draw shows that you have won a å 2000 prize guaranteed  call 09058094507 from land line  claim 3030  valid 12hrs only
spam,urgent please call 09066612661 from landline  å 5000 cash or a luxury 4  canary islands holiday await collection  t cs sae award  20m12aq  150ppm  16   ûï
ham,they finally came to fix the ceiling 
ham,i ve not sent it  he can send me 
ham,you got called a tool 
ham,stop calling everyone saying i might have cancer  my throat hurts to talk  i can t be answering everyones calls  if i get one more call i m not babysitting on monday
ham,i don t run away frm u    i walk slowly  amp  it kills me that u don t care enough to stop me   
ham,have you not finished work yet or something 
ham,i am in office  whats the matter  msg me now i will call you at break   
ham,dear we are going to our rubber place
ham,good morning  at the repair shop  the only reason i m up at this hour 
spam,urgent  important information for o2 user  today is your lucky day  2 find out why log onto http   www urawinner com there is a fantastic surprise awaiting for you
ham,infact happy new year  how are you where are you when are we seeing
ham,misplaced your number and was sending texts to your old number  wondering why i ve not heard from you this year  all the best in your mcat  got this number from my atlanta friends
ham,geeee     i miss you already  you know   your all i can think about  fuck  i can t wait till next year when we will be together      loving kiss 
